brand,model,year,engine_cc,gear_type,fuel_type,mileage_km,condition,town,listing_month,listing_year,price_lkr
AUDI,A1,2018,1000,automatic,petrol,77000,USED,Dehiwala-Mount-Lavinia,1,2025,9850000
AUDI,A1,2018,1500,automatic,petrol,77000,USED,Colombo,12,2024,9137500
AUDI,A1,2017,1000,automatic,petrol,88000,USED,Colombo,1,2025,9700000
AUDI,A1,2017,1000,automatic,petrol,88000,USED,Negombo,12,2024,10700000
AUDI,A1,2017,1000,automatic,petrol,88000,USED,Colombo,12,2024,9950000
AUDI,A1,2017,1000,automatic,petrol,88000,USED,Matara,12,2024,10400000
AUDI,A1,2016,990,automatic,petrol,99000,USED,Gampaha,2,2025,10000000
AUDI,A1 RS,2016,1000,automatic,petrol,99000,USED,Colombo,1,2025,10500000
AUDI,A3,2025,1500,automatic,petrol,0,BRAND NEW,Colombo,4,2026,19818000
AUDI,A3,2025,1500,automatic,petrol,0,BRAND NEW,Kandy,4,2026,18877000
AUDI,A3,2025,1500,automatic,petrol,0,BRAND NEW,Colombo,4,2026,19137000
AUDI,A3,2025,1500,automatic,petrol,0,BRAND NEW,Galle,4,2026,18614000
AUDI,A3,2025,1500,automatic,petrol,0,BRAND NEW,Kandy,4,2026,19228000
AUDI,A3,2025,1500,automatic,petrol,10115,USED,Gampaha,4,2026,18747000
AUDI,A3,2025,1500,automatic,petrol,12819,USED,Batticaloa,4,2026,19033000
AUDI,A3,2025,1500,automatic,petrol,0,BRAND NEW,Kandy,4,2026,19221000
AUDI,A3,2025,1500,automatic,petrol,1473,USED,Galle,4,2026,17650000
AUDI,A3,2025,1500,automatic,petrol,10661,USED,Jaffna,4,2026,18456000
AUDI,A3,2025,1500,automatic,petrol,0,BRAND NEW,Kandy,4,2026,18680000
AUDI,A3,2024,1500,automatic,petrol,8161,USED,Kandy,4,2026,17663000
AUDI,A3,2024,1500,automatic,petrol,9865,USED,Jaffna,4,2026,17840000
AUDI,A3,2024,1500,automatic,petrol,11146,USED,Kandy,4,2026,17700000
AUDI,A3,2024,1500,automatic,petrol,1286,USED,Kalutara,4,2026,18019000
AUDI,A3,2024,1500,automatic,petrol,4105,USED,Kandy,4,2026,18469000
AUDI,A3,2024,1500,automatic,petrol,8064,USED,Kurunegala,4,2026,16456000
AUDI,A3,2024,1500,automatic,petrol,10993,USED,Kurunegala,4,2026,19299000
AUDI,A3,2023,1500,automatic,petrol,11070,RECONDITIONED,Galle,4,2026,17210000
AUDI,A3,2023,1500,automatic,petrol,27312,RECONDITIONED,Negombo,4,2026,16605000
